title,authors,year,doi,abstract,venue,url,source_db
Fluorescent probes for the detection of chemical warfare agents,Wenqi Meng; Adam C. Sedgwick; Nahyun Kwon; Mingxue Sun; Kai Xiao; Xiao‐Peng He; Eric V. Anslyn; Tony D. James; Juyoung Yoon,2022,10.1039/d2cs00650b,") to permit in-depth evaluation of their biological interactions and allow potential identification of therapeutic countermeasures. In this review, we provide an overview of the various reported fluorescent probes that have been designed for the detection of CWAs. The mechanism for CWA detection, change in optical output and application for each fluorescent probe are described in detail. The limitations and challenges of currently developed fluorescent probes are discussed providing insight into the future development of this research area. We hope the information provided in this review will give readers a clear understanding of how to design a fluorescent probe for the detection of a specific CWA. We anticipate that this will advance our security systems and provide new tools for environmental and toxicology monitoring.",Chemical Society Reviews,https://openalex.org/W4296806995,openalex
Voice in Human–Agent Interaction,Katie Seaborn; Norihisa Miyake; Peter Pennefather; Mihoko Otake,2021,10.1145/3386867,"Social robots, conversational agents, voice assistants, and other embodied AI are increasingly a feature of everyday life. What connects these various types of intelligent agents is their ability to interact with people through voice. Voice is becoming an essential modality of embodiment, communication, and interaction between computer-based agents and end-users. This survey presents a meta-synthesis on agent voice in the design and experience of agents from a human-centered perspective: voice-based human–agent interaction (vHAI). Findings emphasize the social role of voice in HAI as well as circumscribe a relationship between agent voice and body, corresponding to human models of social psychology and cognition. Additionally, changes in perceptions of and reactions to agent voice over time reveals a generational shift coinciding with the commercial proliferation of mobile voice assistants. The main contributions of this work are a vHAI classification framework for voice across various agent forms, contexts, and user groups, a critical analysis grounded in key theories, and an identification of future directions for the oncoming wave of vocal machines.",ACM Computing Surveys,https://openalex.org/W3159367349,openalex
Systematic review and meta-analysis of AI-based conversational agents for promoting mental health and well-being,Han Li; Renwen Zhang; Yi‐Chieh Lee; Robert E. Kraut; David C. Mohr,2023,10.1038/s41746-023-00979-5,"Conversational artificial intelligence (AI), particularly AI-based conversational agents (CAs), is gaining traction in mental health care. Despite their growing usage, there is a scarcity of comprehensive evaluations of their impact on mental health and well-being. This systematic review and meta-analysis aims to fill this gap by synthesizing evidence on the effectiveness of AI-based CAs in improving mental health and factors influencing their effectiveness and user experience. Twelve databases were searched for experimental studies of AI-based CAs' effects on mental illnesses and psychological well-being published before May 26, 2023. Out of 7834 records, 35 eligible studies were identified for systematic review, out of which 15 randomized controlled trials were included for meta-analysis. The meta-analysis revealed that AI-based CAs significantly reduce symptoms of depression (Hedge's g 0.64 [95% CI 0.17-1.12]) and distress (Hedge's g 0.7 [95% CI 0.18-1.22]). These effects were more pronounced in CAs that are multimodal, generative AI-based, integrated with mobile/instant messaging apps, and targeting clinical/subclinical and elderly populations. However, CA-based interventions showed no significant improvement in overall psychological well-being (Hedge's g 0.32 [95% CI -0.13 to 0.78]). User experience with AI-based CAs was largely shaped by the quality of human-AI therapeutic relationships, content engagement, and effective communication. These findings underscore the potential of AI-based CAs in addressing mental health issues. Future research should investigate the underlying mechanisms of their effectiveness, assess long-term effects across various mental health outcomes, and evaluate the safe integration of large language models (LLMs) in mental health care.",npj Digital Medicine,https://openalex.org/W4389934892,openalex
"Plant growth-promoting microorganisms as biocontrol agents of plant diseases: Mechanisms, challenges and future perspectives",Mohamed T. El‐Saadony; Ahmed M. Saad; Soliman M. Soliman; Heba M. Salem; Alshaymaa I. Ahmed; Mohsin Mahmood; Amira M. El-Tahan; Alia A. M. Ebrahim; Taia A. Abd El–Mageed; Shaimaa H. Negm; Samy Selim; Ahmad O. Babalghith; Ahmed S. Elrys; Khaled A. El‐Tarabily; Synan F. AbuQamar,2022,10.3389/fpls.2022.923880,"Plant diseases and pests are risk factors that threaten global food security. Excessive chemical pesticide applications are commonly used to reduce the effects of plant diseases caused by bacterial and fungal pathogens. A major concern, as we strive toward more sustainable agriculture, is to increase crop yields for the increasing population. Microbial biological control agents (MBCAs) have proved their efficacy to be a green strategy to manage plant diseases, stimulate plant growth and performance, and increase yield. Besides their role in growth enhancement, plant growth-promoting rhizobacteria/fungi (PGPR/PGPF) could suppress plant diseases by producing inhibitory chemicals and inducing immune responses in plants against phytopathogens. As biofertilizers and biopesticides, PGPR and PGPF are considered as feasible, attractive economic approach for sustainable agriculture; thus, resulting in a ""win-win"" situation. Several PGPR and PGPF strains have been identified as effective BCAs under environmentally controlled conditions. In general, any MBCA must overcome certain challenges before it can be registered or widely utilized to control diseases/pests. Successful MBCAs offer a practical solution to improve greenhouse crop performance with reduced fertilizer inputs and chemical pesticide applications. This current review aims to fill the gap in the current knowledge of plant growth-promoting microorganisms (PGPM), provide attention about the scientific basis for policy development, and recommend further research related to the applications of PGPM used for commercial purposes.",Frontiers in Plant Science,https://openalex.org/W4303184554,openalex
AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,Zehang Deng; Yongjian Guo; Changzhou Han; Wanlun Ma; Junwu Xiong; Sheng Wen; Yang Xiang,2025,10.1145/3716628,"An Artificial Intelligence (AI) agent is a software entity that autonomously performs tasks or makes decisions based on pre-defined objectives and data inputs. AI agents, capable of perceiving user inputs, reasoning and planning tasks, and executing actions, have seen remarkable advancements in algorithm development and task performance. However, the security challenges they pose remain under-explored and unresolved. This survey delves into the emerging security threats faced by AI agents, categorizing them into four critical knowledge gaps: unpredictability of multi-step user inputs, complexity in internal executions, variability of operational environments, and interactions with untrusted external entities. By systematically reviewing these threats, this article highlights both the progress made and the existing limitations in safeguarding AI agents. The insights provided aim to inspire further research into addressing the security threats associated with AI agents, thereby fostering the development of more robust and secure AI agent applications.",ACM Computing Surveys,https://openalex.org/W4407236106,openalex
"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",Ranjan Sapkota; Konstantinos I. Roumeliotis; Manoj Karkee,2025,10.1016/j.inffus.2025.103599,"Information fusion, in the context of the Generative AI era, must distinguish AI Agents from Agentic AI. This review critically distinguishes between AI Agents and Agentic AI, offering a structured, conceptual taxonomy, application mapping, and analysis of opportunities and challenges to clarify their divergent design philosophies and capabilities. We begin by outlining the search strategy and foundational definitions, characterizing AI Agents as modular systems driven and enabled by LLMs and LIMs for task-specific automation. Generative AI is positioned as a precursor providing the foundation, with AI agents advancing through tool integration, prompt engineering, and reasoning enhancements. We then characterize Agentic AI systems, which, in contrast to AI Agents, represent a paradigm shift marked by multi-agent collaboration, dynamic task decomposition, persistent memory, and coordinated autonomy. Through a chronological evaluation of architectural evolution, operational mechanisms, interaction styles, and autonomy levels, we present a comparative analysis across both AI agents and agentic AI paradigms. Application domains enabled by AI Agents such as customer support, scheduling, and data summarization are then contrasted with Agentic AI deployments in research automation, robotic coordination, and medical decision support. We further examine unique challenges in each paradigm including hallucination, brittleness, emergent behavior, and coordination failure, and propose targeted solutions such as ReAct loops, retrieval-augmented generation (RAG), automation coordination layers, and causal modeling. This work aims to provide a roadmap for developing robust, scalable, and explainable AI-driven systems.",Information Fusion,https://openalex.org/W4413427262,openalex
The role of agentic AI in shaping a smart future: A systematic review,Soodeh Hosseini; Hossein Seilani,2025,10.1016/j.array.2025.100399,"Artificial intelligence (AI), particularly Agentic AI, is increasingly critical for addressing the demand for speed, efficiency, and customer focus in modern organizations. However, the rapid evolution of Agentic AI, including Generative AI (GenAI) agents, has outpaced a cohesive understanding of its applications, challenges, and strategic implications. This narrative review explores the role of Agentic AI in shaping an intelligent future, focusing on its key attributes—autonomy, reactivity, proactivity, and learning ability—and its potential to transform organizational performance. We identify a research gap in synthesizing the diverse capabilities of Agentic AI (e.g., multimodal processing, hierarchical architectures, and machine learning outsourcing) and providing actionable strategies for adoption. The paper examines how Agentic AI enables autonomous decision-making, automates processes, and enhances efficiency through tools like LangChain, CrewAI, AutoGen, and AutoGPT. It highlights the transition from assisted (""Copilot"") to autonomous (""Autopilot"") models and the importance of hierarchical agent structures for system coordination. Key contributions include a framework for organizations to formulate GenAI strategies, addressing business needs, tool selection, human resource training, and risk management. Findings reveal that Agentic AI significantly improves productivity, reduces costs, and drives innovation, though challenges such as privacy, security, and ethical concerns remain. Future research should focus on industry-specific case studies to deepen understanding, explore the ethical and social impacts (e.g., privacy, data security, labor market effects), and investigate the integration of Agentic AI with emerging technologies like quantum computing. This review provides a foundation for researchers and practitioners to leverage Agentic AI effectively while addressing its limitations and opportunities.",Array,https://openalex.org/W4410197190,openalex
An evolutionary analysis of green finance sustainability based on multi-agent game,Herui Cui; Ruoyao Wang; Haoran Wang,2020,10.1016/j.jclepro.2020.121799,,Journal of Cleaner Production,https://openalex.org/W3024629478,openalex
"Climate change impacts on plant pathogens, food security and paths forward",Brajesh K. Singh; Manuel Delgado‐Baquerizo; Eleonora Egidi; Emilio Guirado; Jan E. Leach; Hongwei Liu; Pankaj Trivedi,2023,10.1038/s41579-023-00900-7,,Nature Reviews Microbiology,https://openalex.org/W4367676036,openalex
"AI Agents vs. Agentic AI: A Conceptual Taxonomy, Applications and Challenges",Ranjan Sapkota; Konstantinos I. Roumeliotis; Manoj Karkee,2025,10.70777/si.v2i3.15161,"This review critically distinguishes between AI Agents and Agentic AI, offering a structured, conceptual taxonomy, application mapping, and analysis of opportunities and challenges to clarify their divergent design philosophies and capabilities. We begin by outlining the search strategy and foundational definitions, characterizing AI Agents as modular systems driven and enabled by LLMs and LIMs for taskspecific automation. Generative AI is positioned as a precursor providing the foundation, with AI agents advancing through tool integration, prompt engineering, and reasoning enhancements. We then characterize Agentic AI systems, which, in contrast to AI Agents, represent a paradigm shift marked by multi-agent collaboration, dynamic task decomposition, persistent memory, and coordinated autonomy. Through a chronological evaluation of architectural evolution, operational mechanisms, interaction styles, and autonomy levels, we present a comparative analysis across both AI agents and agentic AI paradigms. Application domains enabled by AI Agents such as customer support, scheduling, and data summarization are then contrasted with Agentic AI deployments in research automation, robotic coordination, and medical decision support. We further examine unique challenges in each paradigm including hallucination, brittleness, emergent behavior, and coordination failure, and propose targeted solutions such as ReAct loops, retrieval-augmented generation (RAG), automation coordination layers, and causal modeling. This work aims to provide a roadmap for developing robust, scalable, and explainable AI-driven systems.",SuperIntelligence - Robotics - Safety & Alignment,https://openalex.org/W4412505619,openalex
Trichoderma as biocontrol agent against pests: New uses for a mycoparasite,Jorge Poveda,2021,10.1016/j.biocontrol.2021.104634,"Insects are the main pest in agricultural systems, causing significant losses in crop productivity and storage. During the last decades the control of pest insects has been carried out through the uncontrolled and massive use of chemical insecticides, very harmful to the environment and health, which requires the development of new efficient and safe alternatives. Numerous fungal species have been described as entomopathogens of insect pests, as well as plant endophytic fungi. In this sense, Trichoderma is a genus of filamentous fungi widely studied and used as a biocontrol agent in agriculture on pathogenic fungi due to its ability to parasitize them (mycoparasitism), among other mechanisms of action. In recent years, the possibility of using Trichoderma as a biocontrol agent for insect pest has been considered, both directly and indirectly. The studies carried out to date have reported that Trichoderma is capable of controlling insect pest directly through parasitism and the production of insecticidal secondary metabolites, antifeedant compounds and repellent metabolites. And indirectly through the activation of systemic plant defensive responses, the attraction of natural enemies or the parasitism of insect-symbiotic microorganisms. Therefore, the use of Trichoderma in agriculture is not only effective against plant pathogens, but also against insect pests, representing a future alternative in the development of sustainable agriculture.",Biological Control,https://openalex.org/W3158345945,openalex
Multi-Agent Deep Reinforcement Learning-Based Trajectory Planning for Multi-UAV Assisted Mobile Edge Computing,Liang Wang; Kezhi Wang; Cunhua Pan; Wei Xu; Nauman Aslam; Lajos Hanzo,2020,10.1109/tccn.2020.3027695,"An unmanned aerial vehicle (UAV)-aided mobile edge computing (MEC) framework is proposed, where several UAVs having different trajectories fly over the target area and support the user equipments (UEs) on the ground. We aim to jointly optimize the geographical fairness among all the UEs, the fairness of each UAV' UE-load and the overall energy consumption of UEs. The above optimization problem includes both integer and continues variables and it is challenging to solve. To address the above problem, a multi-agent deep reinforcement learning based trajectory control algorithm is proposed for managing the trajectory of each UAV independently, where the popular Multi-Agent Deep Deterministic Policy Gradient (MADDPG) method is applied. Given the UAVs' trajectories, a low-complexity approach is introduced for optimizing the offloading decisions of UEs. We show that our proposed solution has considerable performance over other traditional algorithms, both in terms of the fairness for serving UEs, fairness of UE-load at each UAV and energy consumption for all the UEs.",IEEE Transactions on Cognitive Communications and Networking,https://openalex.org/W3090573937,openalex
Applications of Multi-Agent Reinforcement Learning in Future Internet: A Comprehensive Survey,Tianxu Li; Kun Zhu; Nguyen Cong Luong; Dusit Niyato; Qihui Wu; Yang Zhang; Bing Chen,2022,10.1109/comst.2022.3160697,"Future Internet involves several emerging technologies such as 5G and beyond 5G networks, vehicular networks, unmanned aerial vehicle (UAV) networks, and Internet of Things (IoTs). Moreover, the future Internet becomes heterogeneous and decentralized with a large number of involved network entities. Each entity may need to make its local decision to improve the network performance under dynamic and uncertain network environments. Standard learning algorithms such as single-agent Reinforcement Learning (RL) or Deep Reinforcement Learning (DRL) have been recently used to enable each network entity as an agent to learn an optimal decision-making policy adaptively through interacting with the unknown environments. However, such an algorithm fails to model the cooperations or competitions among network entities, and simply treats other entities as a part of the environment that may result in the non-stationarity issue. Multi-agent Reinforcement Learning (MARL) allows each network entity to learn its optimal policy by observing not only the environments but also other entities’ policies. As a result, MARL can significantly improve the learning efficiency of the network entities, and it has been recently used to solve various issues in the emerging networks. In this paper, we thus review the applications of MARL in emerging networks. In particular, we provide a tutorial of MARL and a comprehensive survey of applications of MARL in next-generation Internet. In particular, we first introduce single-agent RL and MARL. Then, we review a number of applications of MARL to solve emerging issues in the future Internet. The issues consist of network access, transmit power control, computation offloading, content caching, packet routing, trajectory design for UAV-aided networks, and network security issues. Finally, we discuss the challenges, open issues, and future directions related to the applications of MARL in the future Internet.",IEEE Communications Surveys & Tutorials,https://openalex.org/W4286893914,openalex
Discovery and development of safe-in-man broad-spectrum antiviral agents,Petter I. Andersen; Aleksandr Ianevski; Hilde Lysvand; Astra Vitkauskienė; Valentyn Oksenych; Magnar Bjørås; Kaidi Telling; Irja Lutsar; Uga Dumpis; Yasuhiko Irie; Tanel Tenson; Anu Kantele; Denis E. Kainov,2020,10.1016/j.ijid.2020.02.018,"Viral diseases are one of the leading causes of morbidity and mortality in the world. Virus-specific vaccines and antiviral drugs are the most powerful tools to combat viral diseases. However, broad-spectrum antiviral agents (BSAAs, i.e. compounds targeting viruses belonging to two or more viral families) could provide additional protection of the general population from emerging and re-emerging viral diseases, reinforcing the arsenal of available antiviral options. Here, we review discovery and development of BSAAs and summarize the information on 120 safe-in-man agents in a freely accessible database (https://drugvirus.info/). Future and ongoing pre-clinical and clinical studies will increase the number of BSAAs, expand the spectrum of their indications, and identify drug combinations for treatment of emerging and re-emerging viral infections as well as co-infections.",International Journal of Infectious Diseases,https://openalex.org/W2980655992,openalex
"Conversational Agents: Goals, Technologies, Vision and Challenges",Merav Allouch; Amos Azaria; Rina Azoulay,2021,10.3390/s21248448,"In recent years, conversational agents (CAs) have become ubiquitous and are a presence in our daily routines. It seems that the technology has finally ripened to advance the use of CAs in various domains, including commercial, healthcare, educational, political, industrial, and personal domains. In this study, the main areas in which CAs are successful are described along with the main technologies that enable the creation of CAs. Capable of conducting ongoing communication with humans, CAs are encountered in natural-language processing, deep learning, and technologies that integrate emotional aspects. The technologies used for the evaluation of CAs and publicly available datasets are outlined. In addition, several areas for future research are identified to address moral and security issues, given the current state of CA-related technological developments. The uniqueness of our review is that an overview of the concepts and building blocks of CAs is provided, and CAs are categorized according to their abilities and main application domains. In addition, the primary tools and datasets that may be useful for the development and evaluation of CAs of different categories are described. Finally, some thoughts and directions for future research are provided, and domains that may benefit from conversational agents are introduced.",Sensors,https://openalex.org/W4200588694,openalex
